date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:06	79506/79506	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:26%20GMT	https://ras-it.rs/	S:/Web%20copies/Website%200108/ras-it.rs/index.html	(from )
21:17:07	132/132	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202020%2010:48:38%20GMT	https://ras-it.rs/robots.txt		(from )
21:17:07	155/155	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Jan%202020%2010:48:41%20GMT	https://ras-it.rs/xmlrpc.php	S:/Web%20copies/Website%200108/ras-it.rs/xmlrpc.php	(from https://ras-it.rs/)
21:17:08	393/393	---M--	200	added ('OK')	image/png	etag:%225b51e11e-189%22	https://ras-it.rs/wp-content/uploads/2018/07/thumbnail-2.png	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/uploads/2018/07/thumbnail-2.png	(from https://ras-it.rs/)
21:17:10	17380/17380	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	S:/Web%20copies/Website%200108/ajax.googleapis.com/ajax/libs/webfont/1.5.3/webfont.js	(from https://ras-it.rs/)
21:17:10	33679/33679	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-b12e%22	https://ras-it.rs/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.1.6.2.2	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/essential-grid/public/assets/css/settings4d6b.css	(from https://ras-it.rs/)
21:17:11	24737/24737	---MCZ	200	added ('OK')	text/html	date:Fri,%2020%20Jul%202018%2013:18:22%20GMT	https://ras-it.rs/amp/	S:/Web%20copies/Website%200108/ras-it.rs/amp/index.html	(from https://ras-it.rs/)
21:17:11	155/155	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2009%20Jan%202020%2010:48:45%20GMT	https://ras-it.rs/feed/	S:/Web%20copies/Website%200108/ras-it.rs/feed/index.html	(from https://ras-it.rs/)
21:17:11	155/155	---MCZ	403	error ('Forbidden')	text/html	date:Thu,%2009%20Jan%202020%2010:48:45%20GMT	https://ras-it.rs/comments/feed/	S:/Web%20copies/Website%200108/ras-it.rs/comments/feed/index.html	(from https://ras-it.rs/)
21:17:12	31401/31401	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-9e4c%22	https://ras-it.rs/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.7.4	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/plugins/revslider/public/assets/css/settings26ce.css	(from https://ras-it.rs/)
21:17:12	171317/171317	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-4032d%22	https://ras-it.rs/wp-content/themes/mf/assets/css/style.css?ver=1.0	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/css/style5152.css	(from https://ras-it.rs/)
21:17:12	1214/1214	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-a16%22	https://ras-it.rs/wp-content/themes/mf/style.css?ver=1.0	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/style5152.css	(from https://ras-it.rs/)
21:17:12	60646/60646	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-ecfe%22	https://ras-it.rs/wp-content/themes/mf/assets/css/animate.css?ver=1.0.0	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/css/animate8a54.css	(from https://ras-it.rs/)
21:17:13	51069/51069	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-c785%22	https://ras-it.rs/wp-content/themes/mf/assets/css/helper-elements.css?ver=1.0.0	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/css/helper-elements8a54.css	(from https://ras-it.rs/)
21:17:14	34222/34222	---M--	200	added ('OK')	application/octet-stream	etag:%225b51e11e-85ae%22	https://ras-it.rs/wp-content/themes/mf/assets/css/color/custom-color.php?ver=1.0.0	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/css/color/custom-color8a54.php	(from https://ras-it.rs/)
21:17:14	64694/64694	---MCZ	200	added ('OK')	text/css	etag:W/%225b51e11e-1317b%22	https://ras-it.rs/wp-content/themes/mf/assets/css/menu.css?ver=1.0.0	S:/Web%20copies/Website%200108/ras-it.rs/wp-content/themes/mf/assets/css/menu8a54.css	(from https://ras-it.rs/)
